filename,label,chemical,dose,penetration,days_until_next,counter_chemicals,nerve_state
nerve_001.png,regeneration,BDNF,0.2,2,5,"Nogo-A,MAG,OMgp",damaged
nerve_002.png,observe,NGF,0.0,0,0,"Nogo-A,CSPGs",healthy
nerve_003.png,bypass,GDNF,0.4,3,3,"Nogo-A,MAG",severely_damaged
nerve_004.png,regeneration,CNTF,0.3,2,4,"OMgp,Ephrin-B3",damaged
nerve_005.png,observe,NT-3,0.0,0,0,"Semaphorin 3A,Nogo-A",healthy
nerve_006.png,bypass,FGF2,0.5,3,5,"MAG,CSPGs",severely_damaged
nerve_007.png,regeneration,IGF-1,0.2,2,3,"Nogo-A,OMgp,Semaphorin 3A",damaged
nerve_008.png,observe,BDNF,0.0,0,0,"Ephrin-B3,CSPGs",healthy
nerve_009.png,regeneration,GDNF,0.3,3,4,"Nogo-A,MAG,OMgp",damaged
nerve_010.png,bypass,NT-3,0.4,3,5,"Semaphorin 3A,CSPGs",severely_damaged
